,fighter
0,Dominick Cruz
1,Renan Barao
2,Michael McDonald
3,Urijah Faber
4,Eddie Wineland
5,Brad Pickett
6,Brian Bowles
7,Raphael Assuncao
8,Scott Jorgensen
9,Mike Easton
10,Ivan Menjivar
11,TJ Dillashaw
12,Takeya Mizugaki
13,Iuri Alcantara
14,Francisco Rivera
15,Erik Perez
16,Alex Caceres
17,Johnny Eduardo
18,Bryan Caraway
19,Aljamain Sterling
20,Thomas Almeida
21,John Dodson
22,Cody Garbrandt
23,John Lineker
24,Jimmie Rivera
25,Marlon Moraes
26,Pedro Munhoz
27,Cody Stamann
28,Rob Font
29,Petr Yan
30,Vacant
31,Cory Sandhagen
32,Henry Cejudo
33,Jose Aldo
